rank,uid,username,type,accompany,medal_name,medal_level
1,96957,ルルティエ,提督,1899,弥人,32
2,38133,FayeVL,提督,1925,弥人,32
3,520352,黑镰刀,提督,1631,弥人,31
4,381534568,sayakadead,提督,1826,弥人,30
5,12422769,Beartooth90,提督,1037,弥人,30
6,1640605,神の道化,提督,636,弥人,28
7,4333178,波动性巧克力慕斯,提督,0,弥人,27
8,8274893,西西纳图斯,提督,373,弥人,27
9,256079359,猫舌头不想喝热茶,提督,464,弥人,26
10,14378626,昼星轨,提督,0,弥人,26
11,249486249,larva_中国囚人,提督,81,弥人,26
12,264506970,顾小桑的真空家乡,提督,77,弥人,26
13,209374441,知世xf,提督,151,弥人,25
14,2512897,山下住一丁,舰长,1837,弥人,31
15,342447,任意子,舰长,1687,弥人,30
16,49337,无公害沙包,舰长,1871,弥人,29
17,12501775,コンプランド,舰长,1357,弥人,29
18,1829374,ムサシノタクミ,舰长,1218,弥人,29
19,553301,镜晓文,舰长,1900,弥人,29
20,8772065,Yukari_YuRI,舰长,1117,弥人,29
21,4206472,弥希家的针尾雨燕,舰长,1213,弥人,29
22,105402,清新正直HHP,舰长,1427,弥人,29
23,5155551,科罗娜青柠,舰长,1720,弥人,28
24,4304729,清光高校地雷部,舰长,1210,弥人,28
25,10786214,千万ly,舰长,1924,弥人,28
26,2513015,エーワックス-2434,舰长,1523,弥人,28
27,16011437,瑪修-,舰长,1742,弥人,28
28,18363194,岁星昼见,舰长,1265,弥人,28
29,7913853,アベリアF,舰长,930,弥人,28
30,1920686335,弥希_Miki,舰长,1209,弥人,28
31,356189,Heavens Feel,舰长,1610,弥人,28
32,1603612,月ノneet,舰长,1578,弥人,28
33,5812842,弥之鸣,舰长,1638,弥人,28
34,3182660,影月LuneZ,舰长,1656,弥人,28
35,4921755,アルカローズ,舰长,1652,弥人,28
36,1971336,犭苗犭苗木木,舰长,1236,弥人,28
37,48934997,感应性本能,舰长,1085,弥人,27
38,11546675,贝尔纳德C3,舰长,1658,弥人,27
39,774372,黑糖香草摩卡,舰长,1088,弥人,27
40,925,911,舰长,1449,弥人,27
41,12037051,岛那灯,舰长,1134,弥人,27
42,343691814,Noneither,舰长,952,弥人,27
43,281163151,JOL1ON,舰长,929,弥人,27
44,26465,一个大光头都没有,舰长,1863,弥人,27
45,7864667,奈亚子从不发糖,舰长,1738,弥人,27
46,7180032,无为無為,舰长,1415,弥人,27
47,394942544,咳哈哈哈哼哼,舰长,1590,弥人,27
48,3561142,无名一世,舰长,445,弥人,27
49,11347396,傻坐着发愣,舰长,871,弥人,27
50,123785,灯十走十走十走,舰长,1619,弥人,27
51,2699660,朝日奈未來,舰长,1577,弥人,27
52,13026101,Naglfar-,舰长,1475,弥人,27
53,2450646,CYSoulDown,舰长,636,弥人,27
54,16171733,铃鹿Toshi,舰长,1626,弥人,27
55,3677907,李黑羊,舰长,1033,弥人,27
56,10261329,yukino-雪之下雪乃,舰长,650,弥人,27
57,6165418,一号机测试机师,舰长,1514,弥人,27
58,1397965,雨宫ノエル,舰长,1436,弥人,27
59,10776008,丽兹与青鸟,舰长,569,弥人,26
60,3896,Primula,舰长,903,弥人,26
61,14354112,EndlessDice,舰长,1343,弥人,26
62,486937583,红白鬼巫,舰长,878,弥人,26
63,453572565,全職彌人-andy878797,舰长,628,弥人,26
64,14910777,勉強机,舰长,920,弥人,26
65,20186995,黇鹿dmdm,舰长,905,弥人,26
66,2290770,夕月秋乃,舰长,1269,弥人,26
67,569267,鵺鸮,舰长,1265,弥人,26
68,1878939,破破破破破cd,舰长,688,弥人,26
69,159019,九重雪会,舰长,773,弥人,26
70,330367780,呆喂诶,舰长,433,弥人,26
71,7257611,椎名エリ,舰长,643,弥人,26
72,28647475,Urobolus_0,舰长,627,弥人,26
73,443066653,毛线毛裤qaq,舰长,931,弥人,26
74,175534794,sorinX,舰长,1042,弥人,26
75,536365,鸢尾百合,舰长,1021,弥人,26
76,20568160,小小青哇不输风雨,舰长,750,弥人,26
77,2251472,雷风雨电,舰长,418,弥人,26
78,37117728,西门烧烤,舰长,240,弥人,26
79,1829907,Skorz_Tsurumi,舰长,535,弥人,26
80,8396429,airstone42,舰长,800,弥人,26
81,1822772500,天球仪观测者,舰长,360,弥人,26
82,9819432,天遂_人愿,舰长,749,弥人,26
83,1792971,月亮黑子,舰长,272,弥人,26
84,266375,咕咕-咕咕咕咕咕-咕,舰长,519,弥人,26
85,2495576,spiece,舰长,451,弥人,26
86,236018,ドジみ,舰长,625,弥人,26
87,8359,赫のシャドール,舰长,510,弥人,26
88,2955509,We1le5s,舰长,534,弥人,25
89,565632,YomaKKK,舰长,364,弥人,25
90,14879283,Sctchf,舰长,501,弥人,25
91,1645359409,牛奶巧克力厨,舰长,617,弥人,25
92,119629,灰原烬,舰长,210,弥人,25
93,23531154,淅雨沾身,舰长,497,弥人,25
94,34616293,摸摸摸摸你傻,舰长,119,弥人,25
95,384616248,毛毛毛毛线裤,舰长,120,弥人,25
96,34449312,TGGLL,舰长,387,弥人,25
97,5285,凉叶スズハ,舰长,480,弥人,25
98,26580137,夜袭魅影,舰长,111,弥人,25
99,4393496,不爱说话的久久,舰长,502,弥人,25
100,785669,花园莉爱_ria,舰长,272,弥人,25
101,1433435,星星与九月,舰长,383,弥人,25
102,22642353,夜雪想喝芝士抹茶,舰长,360,弥人,25
103,7951981,春山薄雪,舰长,55,弥人,25
104,58725,Qullx_Off,舰长,403,弥人,25
105,5850999,duffystal,舰长,359,弥人,25
106,25372126,Timidmicro19,舰长,300,弥人,25
107,500489446,キングヘイロー,舰长,210,弥人,25
108,35628741,微微微生物,舰长,270,弥人,25
109,1935274,丁骨烩饭T,舰长,241,弥人,24
110,3546569250965659,ティセリリ,舰长,201,弥人,24
111,336198406,凌徊levy,舰长,150,弥人,24
112,49795765,滨海西小毒瘤,舰长,120,弥人,24
113,32699700,Akane型扁舟子,舰长,81,弥人,24
114,1760794230,弥弥御用钢矛护理师,舰长,145,弥人,24
115,59463172,克拉科夫市记者,舰长,180,弥人,24
116,10068032,dozenw,舰长,150,弥人,24
117,675359,出云的天线,舰长,89,弥人,24
118,89636742,A1in_sy,舰长,121,弥人,23
119,351179408,iktTori,舰长,150,弥人,23
120,1039553902,夕莉王,舰长,111,弥人,23
121,100671435,Y-Jacky-Y,舰长,119,弥人,23
122,323728572,每秒单推一个,舰长,60,弥人,23
123,2183094,-Escapist,舰长,120,弥人,23
124,13517355,凉秋21,舰长,119,弥人,23
125,169532651,该用户危险等级为,舰长,89,弥人,23
126,3546598237800885,拉斯普廷Rasia,舰长,30,弥人,23
127,40712818,2MengMeng2,舰长,90,弥人,23
128,204982926,骆驼と海,舰长,84,弥人,23
129,44123513,爱凑热闹です,舰长,90,弥人,22
130,3835876,East_Eden,舰长,89,弥人,22
131,22381696,篝火旁,舰长,82,弥人,22
132,4479168,RBQ如月乱,舰长,82,弥人,22
133,9153870,袋熊警官,舰长,60,弥人,22
134,7915149,阿群Lyrics,舰长,58,弥人,22
135,39278781,可否不加糖,舰长,52,弥人,22
136,1705913,時尚dokinao,舰长,60,弥人,22
137,71198738,末世残羽,舰长,52,弥人,22
138,202329,若雪,舰长,58,弥人,22
139,662497,Kapibara0,舰长,60,弥人,22
140,527217964,桃水纪desuki,舰长,59,弥人,22
141,227448697,惜墨恋染,舰长,59,弥人,22
142,252903,晓美马鲅鱼,舰长,6,弥人,21
143,108058880,MiaMori喵森,舰长,30,弥人,21
144,27159926,麦子maize,舰长,30,弥人,21
145,455004606,水熊重重,舰长,28,弥人,21
146,30602511,西木野チアキ,舰长,5,弥人,21
147,675173765,--红糖糍粑--,舰长,31,弥人,21
148,626440485,无敌维阿信大王,舰长,20,弥人,21
149,249537849,衫戚qi,舰长,31,弥人,21
150,1386126830,神行小豆梓,舰长,28,弥人,21
151,79915078,天才美少女円,舰长,24,弥人,21
152,75872287,明天会恶作剧,舰长,30,弥人,21
153,365193945,木川Hoshiru,舰长,31,弥人,21
154,324279948,iris_113,舰长,28,弥人,21
155,18998555,糖醋小千佳,舰长,58,弥人,21
156,142430916,Tany3,舰长,13,弥人,21
