rank,uid,username,type
1,96957,ルルティエ,总督
2,2512897,山下住一丁,总督
3,520352,黑镰刀,总督
4,342447,任意子,总督
5,25593802,同调群单推人,总督
6,38133,FayeVL,提督
7,452196256,无糖香草可乐,提督
8,15256555,sky_hood,提督
9,381534568,sayakadead,提督
10,49337,无公害沙包,提督
11,6454674,DigAPony,提督
12,12422769,Beartooth90,提督
13,12501775,コンプランド,提督
14,553301,镜晓文,提督
15,666671,Miki的麦麦,提督
16,931185,ラスタライズ,提督
17,5155551,科罗娜青柠,提督
18,1829374,姆萨西诺塔库米,提督
19,356404138,Rapturre,提督
20,105402,清新正直HHP,提督
21,10786214,千万ly,提督
22,8772065,Yukari_YuRI,提督
23,356189,Heavens Feel,提督
24,735538,AOZAKI-YUI,提督
25,5812842,弥之鸣,提督
26,2513015,エーワックス-2434,提督
27,1603612,月ノneet,提督
28,4921755,アルカローズ,提督
29,4274580,良臣没有重谢,提督
30,18363194,岁星昼见,提督
31,11034077,へーぴー,提督
32,4304729,清光高校地雷部,提督
33,7913853,阿贝莉娅-弗洛亚,提督
34,537436,雨纪_Yuuki,提督
35,4206472,Flanker-16,提督
36,104492,随风旅鸟与未知之风,提督
37,11546675,贝尔纳德C3,提督
38,1971336,犭苗犭苗木木,提督
39,2599251,Devi_Lito,提督
40,281163151,怎么改个名字啊,提督
41,774372,黑糖香草摩卡,提督
42,268655,bawula,提督
43,48934997,感应性本能,提督
44,343691814,Noneither,提督
45,936269,紳士君P,提督
46,307274,子蓝_,提督
47,38636696,Hiyori晓,提督
48,21137726,nEwb1EE,提督
49,261107251,即兴屠龙的兔子,提督
50,10181310,流转快晴,提督
51,1939894,一桶原味鸡,提督
52,2251472,雷风雨电,提督
53,796230,kanasoda,提督
54,5708258,筆墨倦客,提督
55,2249185,带带青花鱼,提督
56,38629676,弥希miki女友粉,提督
57,3561142,无名一世,提督
58,108576,髯宅,提督
59,502895183,也文攝輝,提督
60,10261329,yukino-雪之下雪乃,提督
61,2668655,伊迪丝里德尔,提督
62,2450646,CYSoulDown,提督
63,36024,manto,提督
64,30753025,月迷Solomon,提督
65,393885,loneyuki,提督
66,16011437,特别驹,舰长
67,3182660,影月LuneZ,舰长
68,1920686335,究极企鹅帝王,舰长
69,3161528,e-sasaki,舰长
70,12036148,寇塔娜哪去了,舰长
71,925,911,舰长
72,5801333,低级咬人细胞,舰长
73,394942544,咳哈哈哈哼哼,舰长
74,7864667,奈亚子从不发糖,舰长
75,287341,マスイカ,舰长
76,37845745,阿虚Kyonkon,舰长
77,14479743,洛司久,舰长
78,26465,一个大光头都没有,舰长
79,229101190,不稳定层结,舰长
80,44319213,11K5D6A,舰长
81,123785,灯十走十走十走,舰长
82,13026101,Naglfar-,舰长
83,511821,CureMagical,舰长
84,5460965,松石绿的钢,舰长
85,2699660,朝日奈未來,舰长
86,12037051,岛那灯,舰长
87,3896,Primula,舰长
88,12449418,ナツムシ,舰长
89,453196,-kenjoy-,舰长
90,7180032,无为無為,舰长
91,6949826,里见光钻,舰长
92,132270,柒の白白,舰长
93,16171733,铃鹿Toshi,舰长
94,6165418,一号机测试机师,舰长
95,1397965,雨宫ノエル,舰长
96,7034510,被淋湿的雨,舰长
97,247260077,风车与蜻蜓,舰长
98,14354112,EndlessDice,舰长
99,150038690,坚守阵地卢载铉,舰长
100,14910777,勉強机,舰长
101,1698435,吕同学リッキー,舰长
102,372454,有栖ヒロ,舰长
103,4072141,云水暮烟,舰长
104,1874852,YaMacoffe,舰长
105,2650864,羽落魂龛,舰长
106,13573100,zerobom,舰长
107,3799624,不苦大仇深的橘子,舰长
108,2290770,夕月秋乃,舰长
109,12974,蓬萊山空,舰长
110,5348088,某诗阳不加班,舰长
111,20568160,小小青哇不输风雨,舰长
