rank,uid,username,type
1,96957,ルルティエ,提督
2,38133,FayeVL,提督
3,2512897,山下住一丁,提督
4,520352,黑镰刀,提督
5,381534568,sayakadead,提督
6,452196256,无糖香草可乐,舰长
7,15256555,sky_hood,舰长
8,12422769,Beartooth90,舰长
9,342447,任意子,舰长
10,49337,无公害沙包,舰长
11,12501775,コンプランド,舰长
12,553301,镜晓文,舰长
13,1829374,MusashinoTakumi,舰长
14,5155551,科罗娜青柠,舰长
15,666671,Miki的麦麦,舰长
16,8772065,Yukari_YuRI,舰长
17,105402,清新正直HHP,舰长
18,16011437,特别驹,舰长
19,10786214,千万ly,舰长
20,7913853,アベリアF,舰长
21,18363194,岁星昼见,舰长
22,356189,Heavens Feel,舰长
23,735538,AOZAKI-YUI,舰长
24,2513015,エーワックス-2434,舰长
25,3182660,影月LuneZ,舰长
26,5812842,弥之鸣,舰长
27,1603612,月ノneet,舰长
28,4921755,アルカローズ,舰长
29,4304729,清光高校地雷部,舰长
30,4206472,Flanker-16,舰长
31,2599251,Devi_Lito,舰长
32,1971336,犭苗犭苗木木,舰长
33,1920686335,弥希_Miki,舰长
34,11546675,贝尔纳德C3,舰长
35,12036148,寇塔娜哪去了,舰长
36,281163151,JOL1ON,舰长
37,774372,黑糖香草摩卡,舰长
38,925,911,舰长
39,48934997,感应性本能,舰长
40,5801333,低级咬人细胞,舰长
41,394942544,咳哈哈哈哼哼,舰长
42,26465,一个大光头都没有,舰长
43,7864667,奈亚子从不发糖,舰长
44,12037051,岛那灯,舰长
45,44319213,11K5D6A,舰长
46,343691814,Noneither,舰长
47,123785,灯十走十走十走,舰长
48,13026101,Naglfar-,舰长
49,2699660,朝日奈未來,舰长
50,5460965,松石绿的钢,舰长
51,21137726,nEwb1EE,舰长
52,7180032,无为無為,舰长
53,16171733,铃鹿Toshi,舰长
54,796230,kanasoda,舰长
55,6165418,一号机测试机师,舰长
56,502895183,Lyn_0502,舰长
57,10181310,流转快晴,舰长
58,1397965,雨宫ノエル,舰长
59,2450646,CYSoulDown,舰长
60,150038690,坚守阵地卢载铉,舰长
61,14354112,EndlessDice,舰长
62,14910777,勉強机,舰长
63,4072141,云水暮烟,舰长
64,1874852,YaMacoffe,舰长
65,372454,有栖ヒロ,舰长
66,2290770,夕月秋乃,舰长
67,2650864,羽落魂龛,舰长
68,12974,蓬萊山空,舰长
69,569267,鵺鸮,舰长
70,3925567,hooudp,舰长
71,13573100,zerobom,舰长
72,3493104340437958,大卡不卡小卡也不卡,舰长
73,2251472,雷风雨电,舰长
74,3677907,李黑羊,舰长
75,177462569,Curse_Zzzz,舰长
76,10776008,丽兹与青鸟,舰长
77,14482688,AAlieeen,舰长
78,3959318,音流Cymatics,舰长
79,1640605,神の道化,舰长
80,443066653,毛线毛裤qaq,舰长
81,10261329,yukino-雪之下雪乃,舰长
82,175534794,sorinX,舰长
83,11210842,莉丶羽,舰长
84,536365,鸢尾百合,舰长
85,486937583,红白鬼巫,舰长
86,94809389,夜闻啼雁,舰长
87,159019,九重雪会,舰长
88,20186995,黇鹿dmdm,舰长
89,11347396,傻坐着发愣,舰长
90,119629,灰原烬,舰长
91,7367780,里莲花,舰长
92,256079359,猫舌头不想喝热茶,舰长
93,4260554,月映_smile,舰长
94,6036699,内巻玉子,舰长
95,8396429,airstone42,舰长
96,330986,头上一板砖,舰长
97,3661408,仮面騎空士,舰长
98,5285,凉叶スズハ,舰长
99,9819432,天遂_人愿,舰长
100,55616372,二条信佑,舰长
101,14879283,Sctchf,舰长
102,1878939,破破破破破cd,舰长
103,4393496,不爱说话的久久,舰长
104,1829907,Skorz_Tsurumi,舰长
105,7257611,椎名エリ,舰长
106,4642882,全装甲键盘侠MK-2,舰长
107,11500575,我觉得有一点饿oVO,舰长
108,453572565,全職彌人-andy878797,舰长
109,236018,ドジみ,舰长
110,9213296,从来不想熬夜,舰长
111,1508440,青龙GreenD,舰长
112,5850999,duffystal,舰长
113,176759881,不想qm了,舰长
114,2955509,We1le5s,舰长
115,266375,咕咕-咕咕咕咕咕-咕,舰长
116,8154728,FALCOファルクChannel,舰长
117,49706,偽らむね,舰长
118,7254,五更凛,舰长
119,421267475,艾因Eine,舰长
120,59463172,克拉科夫市记者,舰长
121,1930398429,上杉絵梨衣の熊さん,舰长
122,175543,超魔法大战,舰长
123,888218,咆哮閃光,舰长
124,330367780,呆喂诶,舰长
125,3074887,-Isaiah-,舰长
126,30862730,弥离惝恍,舰长
127,1935274,丁骨烩饭T,舰长
128,152181400,Mickeyzhz,舰长
129,6762346,shiro_42,舰长
130,34616293,摸摸摸摸你傻,舰长
131,25411377,SmileyWhite,舰长
132,23721178,LVK_P,舰长
133,2060636373,荞麦素面,舰长
134,17672986,螺旋剑碎片,舰长
