rank,uid,username,type,accompany,medal_name,medal_level
1,96957,ルルティエ,提督,1940,弥人,32
2,38133,FayeVL,提督,1966,弥人,32
3,520352,黑镰刀,提督,1672,弥人,31
4,381534568,sayakadead,提督,1862,弥人,30
5,12422769,Beartooth90,提督,1078,弥人,30
6,4304729,清光高校地雷部,提督,1251,弥人,29
7,4333178,波动性巧克力慕斯,提督,358,弥人,28
8,486937583,红白鬼巫,提督,919,弥人,27
9,3561142,无名一世,提督,486,弥人,27
10,264506970,顾小桑的真空家乡,提督,118,弥人,26
11,2512897,山下住一丁,舰长,1878,弥人,31
12,342447,任意子,舰长,1728,弥人,30
13,49337,无公害沙包,舰长,1912,弥人,29
14,12501775,コンプランド,舰长,1398,弥人,29
15,553301,镜晓文,舰长,1941,弥人,29
16,1829374,ムサシノタクミ,舰长,1259,弥人,29
17,8772065,Yukari_YuRI,舰长,1158,弥人,29
18,4206472,弥希家的针尾雨燕,舰长,1249,弥人,29
19,105402,清新正直HHP,舰长,1468,弥人,29
20,5155551,科罗娜青柠,舰长,1761,弥人,28
21,10786214,千万ly,舰长,1965,弥人,28
22,2513015,エーワックス-2434,舰长,1563,弥人,28
23,16011437,瑪修-,舰长,1783,弥人,28
24,18363194,岁星昼见,舰长,1300,弥人,28
25,7913853,アベリアF,舰长,971,弥人,28
26,1920686335,弥希_Miki,舰长,1240,弥人,28
27,356189,Heavens Feel,舰长,1651,弥人,28
28,1603612,月ノneet,舰长,1619,弥人,28
29,5812842,弥之鸣,舰长,1679,弥人,28
30,3182660,影月LuneZ,舰长,1697,弥人,28
31,4921755,アルカローズ,舰长,1693,弥人,28
32,1640605,神の道化,舰长,677,弥人,28
33,1971336,犭苗犭苗木木,舰长,1277,弥人,28
34,48934997,感应性本能,舰长,1126,弥人,27
35,11546675,贝尔纳德C3,舰长,1699,弥人,27
36,6036699,うちまきたまこ,舰长,778,弥人,27
37,925,911,舰长,1487,弥人,27
38,774372,黑糖香草摩卡,舰长,1129,弥人,27
39,343691814,Noneither,舰长,993,弥人,27
40,281163151,JOL1ON,舰长,970,弥人,27
41,12037051,岛那灯,舰长,1175,弥人,27
42,26465,一个大光头都没有,舰长,1904,弥人,27
43,7180032,无为無為,舰长,1456,弥人,27
44,7864667,奈亚子从不发糖,舰长,1779,弥人,27
45,5801333,低级咬人细胞,舰长,1448,弥人,27
46,394942544,咳哈哈哈哼哼,舰长,1631,弥人,27
47,11347396,傻坐着发愣,舰长,912,弥人,27
48,13026101,Naglfar-,舰长,1516,弥人,27
49,2699660,朝日奈未來,舰长,1618,弥人,27
50,2450646,CYSoulDown,舰长,677,弥人,27
51,8274893,西西纳图斯,舰长,414,弥人,27
52,16171733,铃鹿Toshi,舰长,1667,弥人,27
53,3677907,李黑羊,舰长,1074,弥人,27
54,10261329,yukino-雪之下雪乃,舰长,691,弥人,27
55,6165418,一号机测试机师,舰长,1555,弥人,27
56,1397965,雨宫ノエル,舰长,1477,弥人,27
57,453572565,全職彌人-andy878797,舰长,669,弥人,27
58,14354112,EndlessDice,舰长,1384,弥人,27
59,14910777,勉強机,舰长,961,弥人,26
60,20186995,黇鹿dmdm,舰长,946,弥人,26
61,159019,九重雪会,舰长,814,弥人,26
62,2290770,夕月秋乃,舰长,1310,弥人,26
63,1878939,破破破破破cd,舰长,729,弥人,26
64,569267,鵺鸮,舰长,1306,弥人,26
65,330367780,呆喂诶,舰长,474,弥人,26
66,28647475,Urobolus_0,舰长,668,弥人,26
67,7257611,椎名エリ,舰长,684,弥人,26
68,175534794,sorinX,舰长,1083,弥人,26
69,536365,鸢尾百合,舰长,1062,弥人,26
70,1829907,Skorz_Tsurumi,舰长,576,弥人,26
71,8396429,airstone42,舰长,841,弥人,26
72,9819432,天遂_人愿,舰长,790,弥人,26
73,266375,咕咕-咕咕咕咕咕-咕,舰长,560,弥人,26
74,2495576,spiece,舰长,492,弥人,26
75,236018,ドジみ,舰长,666,弥人,26
76,8359,赫のシャドール,舰长,551,弥人,26
77,2955509,We1le5s,舰长,571,弥人,26
78,119629,灰原烬,舰长,251,弥人,26
79,565632,YomaKKK,舰长,405,弥人,26
80,1645359409,牛奶巧克力厨,舰长,658,弥人,26
81,34616293,摸摸摸摸你傻,舰长,160,弥人,25
82,384616248,毛毛毛毛线裤,舰长,161,弥人,25
83,23531154,淅雨沾身,舰长,538,弥人,25
84,34449312,TGGLL,舰长,428,弥人,25
85,26580137,夜袭魅影,舰长,152,弥人,25
86,4393496,不爱说话的久久,舰长,543,弥人,25
87,7951981,春山薄雪,舰长,96,弥人,25
88,58725,Qullx_Off,舰长,444,弥人,25
89,25372126,Timidmicro19,舰长,341,弥人,25
90,336198406,凌徊levy,舰长,191,弥人,25
91,1935274,丁骨烩饭T,舰长,282,弥人,25
92,49795765,滨海西小毒瘤,舰长,161,弥人,24
93,10068032,dozenw,舰长,191,弥人,24
94,675359,出云的天线,舰长,130,弥人,24
95,351179408,iooPlover,舰长,191,弥人,24
96,323728572,每秒单推一个,舰长,101,弥人,24
97,89636742,A1in_sy,舰长,162,弥人,24
98,13517355,凉秋21,舰长,160,弥人,24
99,169532651,该用户危险等级为,舰长,130,弥人,24
100,44123513,爱凑热闹です,舰长,131,弥人,23
