rank,uid,username,type,accompany,medal_name,medal_level
1,96957,ルルティエ,提督,1943,弥人,32
2,38133,FayeVL,提督,1969,弥人,32
3,520352,黑镰刀,提督,1675,弥人,31
4,381534568,sayakadead,提督,1863,弥人,30
5,12422769,Beartooth90,提督,1081,弥人,30
6,4304729,清光高校地雷部,提督,1254,弥人,29
7,4333178,波动性巧克力慕斯,提督,361,弥人,28
8,486937583,红白鬼巫,提督,922,弥人,27
9,3561142,无名一世,提督,489,弥人,27
10,264506970,顾小桑的真空家乡,提督,121,弥人,26
11,2512897,山下住一丁,舰长,1881,弥人,31
12,342447,任意子,舰长,1731,弥人,30
13,49337,无公害沙包,舰长,1915,弥人,29
14,12501775,コンプランド,舰长,1401,弥人,29
15,553301,镜晓文,舰长,1944,弥人,29
16,1829374,ムサシノタクミ,舰长,1262,弥人,29
17,8772065,Yukari_YuRI,舰长,1161,弥人,29
18,4206472,弥希家的针尾雨燕,舰长,1252,弥人,29
19,105402,清新正直HHP,舰长,1471,弥人,29
20,5155551,科罗娜青柠,舰长,1764,弥人,28
21,10786214,千万ly,舰长,1968,弥人,28
22,2513015,エーワックス-2434,舰长,1566,弥人,28
23,16011437,瑪修-,舰长,1786,弥人,28
24,18363194,岁星昼见,舰长,1303,弥人,28
25,7913853,アベリアF,舰长,974,弥人,28
26,1920686335,弥希_Miki,舰长,1243,弥人,28
27,356189,Heavens Feel,舰长,1654,弥人,28
28,1603612,月ノneet,舰长,1622,弥人,28
29,5812842,弥之鸣,舰长,1682,弥人,28
30,3182660,影月LuneZ,舰长,1700,弥人,28
31,4921755,アルカローズ,舰长,1696,弥人,28
32,1640605,神の道化,舰长,680,弥人,28
33,1971336,犭苗犭苗木木,舰长,1280,弥人,28
34,48934997,感应性本能,舰长,1129,弥人,27
35,11546675,贝尔纳德C3,舰长,1702,弥人,27
36,6036699,うちまきたまこ,舰长,781,弥人,27
37,925,911,舰长,1490,弥人,27
38,774372,黑糖香草摩卡,舰长,1132,弥人,27
39,343691814,Noneither,舰长,996,弥人,27
40,281163151,JOL1ON,舰长,973,弥人,27
41,12037051,岛那灯,舰长,1178,弥人,27
42,26465,一个大光头都没有,舰长,1907,弥人,27
43,7180032,无为無為,舰长,1459,弥人,27
44,7864667,奈亚子从不发糖,舰长,1782,弥人,27
45,5801333,低级咬人细胞,舰长,1451,弥人,27
46,394942544,咳哈哈哈哼哼,舰长,1634,弥人,27
47,11347396,傻坐着发愣,舰长,915,弥人,27
48,2699660,朝日奈未來,舰长,1621,弥人,27
49,13026101,Naglfar-,舰长,1519,弥人,27
50,2450646,CYSoulDown,舰长,680,弥人,27
51,8274893,西西纳图斯,舰长,417,弥人,27
52,16171733,铃鹿Toshi,舰长,1670,弥人,27
53,3677907,李黑羊,舰长,1077,弥人,27
54,10261329,yukino-雪之下雪乃,舰长,694,弥人,27
55,6165418,一号机测试机师,舰长,1558,弥人,27
56,1397965,雨宫ノエル,舰长,1480,弥人,27
57,453572565,全職彌人-andy878797,舰长,672,弥人,27
58,14354112,EndlessDice,舰长,1387,弥人,27
59,14910777,勉強机,舰长,964,弥人,26
60,20186995,黇鹿dmdm,舰长,949,弥人,26
61,159019,九重雪会,舰长,817,弥人,26
62,2290770,夕月秋乃,舰长,1313,弥人,26
63,1878939,破破破破破cd,舰长,732,弥人,26
64,569267,鵺鸮,舰长,1309,弥人,26
65,330367780,呆喂诶,舰长,477,弥人,26
66,28647475,Urobolus_0,舰长,671,弥人,26
67,7257611,椎名エリ,舰长,687,弥人,26
68,175534794,sorinX,舰长,1086,弥人,26
69,536365,鸢尾百合,舰长,1065,弥人,26
70,1829907,Skorz_Tsurumi,舰长,579,弥人,26
71,8396429,airstone42,舰长,844,弥人,26
72,266375,咕咕-咕咕咕咕咕-咕,舰长,563,弥人,26
73,9819432,天遂_人愿,舰长,793,弥人,26
74,2495576,spiece,舰长,495,弥人,26
75,236018,ドジみ,舰长,669,弥人,26
76,8359,赫のシャドール,舰长,554,弥人,26
77,565632,YomaKKK,舰长,408,弥人,26
78,1645359409,牛奶巧克力厨,舰长,661,弥人,26
79,119629,灰原烬,舰长,254,弥人,26
80,23531154,淅雨沾身,舰长,541,弥人,26
81,34616293,摸摸摸摸你傻,舰长,163,弥人,25
82,384616248,毛毛毛毛线裤,舰长,164,弥人,25
83,34449312,TGGLL,舰长,431,弥人,25
84,26580137,夜袭魅影,舰长,155,弥人,25
85,4393496,不爱说话的久久,舰长,546,弥人,25
86,7951981,春山薄雪,舰长,99,弥人,25
87,58725,Qullx_Off,舰长,447,弥人,25
88,25372126,Timidmicro19,舰长,344,弥人,25
89,336198406,凌徊levy,舰长,194,弥人,25
90,1935274,丁骨烩饭T,舰长,285,弥人,25
91,49795765,滨海西小毒瘤,舰长,164,弥人,24
92,10068032,dozenw,舰长,194,弥人,24
93,675359,出云的天线,舰长,133,弥人,24
94,351179408,iooPlover,舰长,194,弥人,24
95,323728572,每秒单推一个,舰长,104,弥人,24
96,89636742,A1in_sy,舰长,165,弥人,24
97,13517355,凉秋21,舰长,163,弥人,24
98,169532651,该用户危险等级为,舰长,133,弥人,24
99,44123513,爱凑热闹です,舰长,134,弥人,23
100,22381696,篝火旁,舰长,126,弥人,23
101,4479168,RBQ如月乱,舰长,126,弥人,23
102,662497,Kapibara0,舰长,104,弥人,23
103,1386126830,神行小豆梓,舰长,72,弥人,22
104,3121350,超级热狗人,舰长,41,弥人,22
105,142430916,Tany3,舰长,57,弥人,22
106,2604996,殒,舰长,14,弥人,21
107,1290421,降温丶,舰长,31,弥人,21
