rank,uid,username,type,accompany,medal_name,medal_level
1,264506970,弥希Miki的真空家乡,提督,345,弥人,42
2,96957,ルルティエ,舰长,2167,弥人,49
3,38133,FayeVL,舰长,2193,弥人,48
4,12422769,Beartooth90,舰长,1305,弥人,44
5,4333178,波动性巧克力慕斯,舰长,585,弥人,42
6,4304729,清光高校地雷部,舰长,1478,弥人,42
7,105402,清新正直HHP,舰长,1695,弥人,40
8,1640605,神の道化,舰长,904,弥人,39
9,16011437,瑪修-,舰长,2010,弥人,39
10,4921755,アルカローズ,舰长,1920,弥人,38
11,4274580,良臣没有重谢,舰长,629,弥人,37
12,774372,黑糖香草摩卡,舰长,1356,弥人,36
13,343691814,Noneither,舰长,1198,弥人,36
14,10261329,yukino-雪之下雪乃,舰长,918,弥人,35
15,159019,九重雪会,舰长,1041,弥人,35
16,28647475,Urobolus_0,舰长,895,弥人,34
17,20186995,黇鹿dmdm,舰长,1173,弥人,34
18,323728572,每秒单推一个,舰长,328,弥人,30
19,44123513,爱凑热闹です,舰长,358,弥人,30
20,1996785597,机界怨种,舰长,58,弥人,24
21,2150501,螺旋卷卷,舰长,58,弥人,24
22,3418526,l786266731,舰长,51,弥人,24
23,695211604,星韵璃梦栖,舰长,58,弥人,23
24,24816063,縶給闦蘉鸀鱍鞝繝礃,舰长,18,弥人,22
25,65439365,米汀家的弥人小礼猫,舰长,2,弥人,22
